Wall time,Step,Value
1495005688.2963624,22006,0.8828125
1495005688.550542,22220,0.8984375
1495005688.5818248,22245,0.953125
1495005688.6004002,22258,0.9375
1495005688.6355944,22285,0.8828125
1495005688.6434152,22292,0.8984375
1495005688.7529082,22308,0.921875
1495005688.7636619,22316,0.8671875
1495005688.7802815,22330,0.9140625
1495005688.813521,22358,0.90625
1495005688.8966177,22427,0.9375
1495005688.9005382,22430,0.90625
1495005688.9562528,22472,0.921875
1495005688.9973226,22507,0.921875
1495005689.0413063,22544,0.9375
1495005689.1468976,22635,0.90625
1495005689.387383,22758,0.9140625
1495005689.3981493,22765,0.8984375
1495005689.5125155,22828,0.90625
1495005689.5340228,22840,0.9140625
1495005689.6689346,22930,0.890625
1495005689.6748,22933,0.9296875
1495005689.9260488,23080,0.9296875
1495005689.9319127,23084,0.9375
1495005689.9856825,23127,0.953125
1495005690.0003457,23138,0.9140625
1495005690.0091448,23143,0.9296875
1495005690.015988,23148,0.90625
1495005690.2115111,23182,0.9375
1495005690.2291088,23192,0.9375
1495005690.2652812,23218,0.8828125
1495005690.3278482,23263,0.9453125
1495005690.3552203,23286,0.9140625
1495005690.4177878,23337,0.9375
1495005690.4461384,23361,0.875
1495005690.4686253,23380,0.90625
1495005690.4852436,23394,0.8828125
1495005690.529237,23427,0.9140625
1495005690.6641579,23540,0.921875
1495005690.7296472,23589,0.90625
1495005690.9994738,23670,0.96875
1495005691.017077,23681,0.890625
1495005691.0483499,23701,0.9609375
1495005691.1480668,23761,0.890625
1495005691.1725097,23774,0.8671875
1495005691.2438738,23811,0.9296875
1495005691.2741804,23831,0.90625
1495005691.4755723,23938,0.890625
1495005691.7903438,24079,0.9375
1495005691.8362815,24118,0.921875
1495005691.8763733,24147,0.921875
1495005691.9252546,24186,0.90625
1495005691.982925,24234,0.921875
1495005692.0376844,24282,0.9140625
1495005692.039636,24284,0.8984375
1495005692.0494075,24292,0.9453125
1495005692.0845957,24322,0.8828125
1495005692.1119697,24345,0.90625
1495005692.19409,24416,0.859375
1495005692.4531565,24557,0.9375
1495005692.5333219,24621,0.9140625
1495005692.5900247,24667,0.9375
1495005692.6242404,24697,0.8828125
1495005692.6496677,24719,0.921875
1495005692.6594481,24727,0.8984375
1495005692.8031533,24849,0.9140625
1495005692.837361,24879,0.921875
1495005692.9536958,24901,0.8984375
1495005692.992802,24934,0.9296875
1495005693.08372,25008,0.8515625
1495005693.1345544,25047,0.9453125
1495005693.236227,25133,0.9375
1495005693.3203025,25206,0.9140625
1495005693.3496308,25231,0.90625
1495005693.3643053,25244,0.8984375
1495005693.3750498,25253,0.90625
1495005693.5578632,25332,0.890625
1495005693.6262965,25391,0.9296875
1495005693.7700062,25505,0.9375
1495005693.7876034,25520,0.90625
1495005693.8785212,25599,0.90625
1495005693.9821537,25686,0.90625
1495005694.1747391,25775,0.875
1495005694.2177534,25812,0.8828125
1495005694.2578354,25847,0.8984375
1495005694.2989063,25880,0.953125
1495005694.3585296,25921,0.9296875
1495005694.4875762,26029,0.9296875
1495005694.507138,26045,0.890625
1495005694.5315785,26066,0.8671875
1495005694.5433095,26075,0.90625
1495005694.5618742,26091,0.921875
1495005694.6352081,26154,0.9296875
1495005694.6361854,26155,0.890625
1495005694.7437108,26169,0.9375
1495005694.9363048,26292,0.921875
1495005694.959765,26303,0.890625
1495005695.134758,26403,0.9140625
1495005695.2256763,26470,0.8828125
1495005695.5580747,26670,0.890625
1495005695.6685357,26754,0.9609375
1495005695.6704915,26756,0.9140625
1495005695.718404,26797,0.9296875
1495005695.7193708,26798,0.90625
